Customer ID,Subscription Length (Months),Customer Satisfaction Score (1-10),Daily Watch Time (Hours),Engagement Rate (1-10),Device Used Most Often,Genre Preference,Region,Payment History (On-Time/Delayed),Subscription Plan,Churn Status (Yes/No),Support Queries Logged,Age,Monthly Income ($),Promotional Offers Used,Number of Profiles Created
930,47,4,2.11,1,Tablet,Sci-fi,Africa,On-Time,Basic,No,10,69,4701,No,3
931,37,9,3.76,8,Laptop,Sci-fi,South America,On-Time,Standard,No,5,37,3431,No,3
932,22,8,5.29,7,Tablet,Romance,South America,On-Time,Standard,No,5,36,6406,Yes,1
933,13,10,2.38,7,Laptop,Drama,Africa,Delayed,Basic,Yes,10,35,8608,Yes,4
934,18,9,1.41,7,Smart TV,Action,Asia,On-Time,Basic,No,4,36,4608,No,1
935,44,6,3.01,5,Laptop,Comedy,North America,Delayed,Basic,No,3,32,2075,Yes,3
936,59,1,2.4,5,Smart TV,Action,Europe,On-Time,Basic,No,6,56,9377,Yes,3
937,1,6,2.43,6,Mobile,Romance,Asia,On-Time,Basic,No,6,24,2420,Yes,3
938,11,10,3.7,7,Mobile,Romance,North America,On-Time,Standard,No,2,63,5719,Yes,2
939,48,2,2.05,3,Tablet,Sci-fi,South America,Delayed,Basic,No,3,58,4776,No,2
940,24,8,5.27,9,Mobile,Drama,Africa,Delayed,Premium,Yes,2,23,1810,Yes,5
941,59,3,3.54,6,Tablet,Sci-fi,North America,On-Time,Basic,No,10,37,8345,Yes,5
942,16,9,3.46,7,Laptop,Sci-fi,Africa,On-Time,Basic,No,0,18,1623,No,2
943,10,1,3.72,6,Mobile,Drama,Asia,On-Time,Basic,No,8,22,5733,Yes,3
944,18,9,5.87,9,Laptop,Romance,Africa,On-Time,Premium,No,2,32,7025,Yes,3
945,45,7,4.64,9,Mobile,Sci-fi,Asia,On-Time,Basic,No,10,34,6194,No,1
946,28,10,5.88,7,Laptop,Sci-fi,Asia,On-Time,Basic,No,2,66,1620,No,4
947,5,10,4.98,9,Tablet,Drama,Europe,On-Time,Basic,No,0,27,9535,Yes,1
948,29,7,1.41,7,Smart TV,Drama,Europe,On-Time,Basic,No,0,60,4768,Yes,1
949,3,9,2.71,9,Smart TV,Action,North America,On-Time,Premium,No,6,19,8922,Yes,4
950,58,7,3.62,8,Tablet,Drama,North America,Delayed,Standard,No,5,33,6326,No,2
951,57,10,3,9,Smart TV,Romance,North America,On-Time,Standard,No,7,37,7365,Yes,3
952,30,1,4.58,3,Mobile,Comedy,Africa,On-Time,Basic,No,5,35,8356,Yes,5
953,24,1,2.87,4,Tablet,Sci-fi,Asia,On-Time,Basic,No,8,54,1100,Yes,1
954,12,8,4.62,9,Smart TV,Drama,North America,On-Time,Standard,No,10,57,4211,Yes,1
955,17,7,3.53,10,Mobile,Romance,Asia,On-Time,Premium,No,2,19,7778,Yes,3
956,37,7,3.77,9,Tablet,Comedy,Oceania,On-Time,Standard,No,1,44,8920,Yes,2
957,59,8,5.44,9,Laptop,Drama,Asia,Delayed,Standard,No,8,45,8670,No,3
958,41,10,1.29,9,Mobile,Drama,Asia,Delayed,Basic,No,8,64,2111,Yes,4
959,52,4,1.13,2,Smart TV,Action,Europe,On-Time,Basic,No,0,58,5996,No,3
960,55,3,2.28,3,Mobile,Drama,Oceania,Delayed,Premium,No,4,30,7140,Yes,3
961,43,9,3.77,7,Mobile,Comedy,South America,On-Time,Basic,No,2,25,2149,No,5
962,48,9,1.65,7,Tablet,Drama,North America,On-Time,Basic,No,3,37,1766,Yes,1
963,50,1,1.38,3,Mobile,Comedy,Oceania,Delayed,Basic,No,8,56,8802,Yes,2
964,26,7,2.17,7,Smart TV,Sci-fi,South America,On-Time,Basic,No,1,26,8547,No,3
965,51,3,2.43,5,Tablet,Action,Asia,On-Time,Basic,No,5,33,2275,No,4
966,45,10,1.04,10,Mobile,Romance,Asia,On-Time,Basic,No,7,34,5462,No,2
967,3,5,4.63,6,Smart TV,Sci-fi,North America,On-Time,Standard,Yes,1,28,2312,No,1
968,4,8,3.33,8,Tablet,Comedy,Asia,On-Time,Standard,No,6,35,4359,Yes,5
969,22,9,4.18,10,Tablet,Romance,Asia,On-Time,Basic,No,0,55,5469,No,4
970,13,10,1.04,10,Mobile,Comedy,Africa,On-Time,Premium,No,4,18,6498,Yes,4
971,55,8,2.92,7,Laptop,Drama,Oceania,On-Time,Standard,No,3,46,7430,No,1
972,4,1,1.42,2,Tablet,Romance,Europe,On-Time,Standard,No,7,44,6669,Yes,2
973,23,8,4.82,9,Laptop,Action,Europe,On-Time,Premium,No,8,22,8445,No,3
974,12,10,5.31,7,Laptop,Comedy,Oceania,On-Time,Basic,No,8,24,9397,No,2
975,58,7,4.12,10,Tablet,Sci-fi,North America,Delayed,Premium,No,2,59,9060,Yes,5
976,34,10,4.96,8,Mobile,Drama,South America,On-Time,Basic,No,6,29,3100,Yes,4
977,32,9,2.54,7,Laptop,Drama,Africa,On-Time,Basic,No,6,58,5550,Yes,1
978,28,9,4.42,8,Smart TV,Action,North America,On-Time,Basic,No,9,65,7372,Yes,4
979,46,2,2.63,1,Smart TV,Comedy,Oceania,Delayed,Premium,No,0,31,1291,Yes,5
980,1,6,1.37,1,Laptop,Drama,North America,On-Time,Premium,No,2,68,2760,Yes,3
981,5,8,5.76,7,Tablet,Sci-fi,Africa,On-Time,Basic,No,2,48,2301,Yes,1
982,13,9,1.24,9,Smart TV,Sci-fi,Oceania,Delayed,Basic,Yes,10,21,7077,No,2
983,20,10,3.02,9,Tablet,Sci-fi,Oceania,On-Time,Basic,No,1,62,3233,Yes,1
984,48,7,1.23,7,Mobile,Sci-fi,Europe,On-Time,Standard,No,0,40,8215,Yes,1
985,57,10,2.05,9,Tablet,Sci-fi,Asia,On-Time,Standard,No,7,64,4460,No,5
986,10,4,5.7,1,Smart TV,Action,Europe,On-Time,Basic,Yes,9,53,5010,No,3
987,12,2,5.15,2,Mobile,Action,Oceania,On-Time,Standard,Yes,10,22,7037,No,1
988,37,8,1.44,8,Laptop,Sci-fi,Africa,On-Time,Standard,No,3,29,4668,Yes,5
989,52,9,2.06,8,Tablet,Sci-fi,Asia,On-Time,Standard,No,5,37,7880,No,5
990,44,7,5.23,8,Tablet,Sci-fi,Asia,On-Time,Premium,No,9,18,9858,Yes,4
991,43,1,2.6,5,Smart TV,Drama,Africa,On-Time,Basic,No,0,48,8291,Yes,3
992,31,6,2.22,3,Smart TV,Sci-fi,Africa,Delayed,Basic,No,6,53,2658,No,3
993,17,9,3.53,8,Laptop,Romance,Africa,On-Time,Basic,No,0,42,7308,Yes,4
994,25,8,4.15,8,Tablet,Action,Europe,On-Time,Standard,No,5,39,7806,No,1
995,53,9,2.97,7,Laptop,Comedy,Asia,Delayed,Premium,No,5,37,4591,Yes,5
996,7,8,5.46,8,Laptop,Action,South America,On-Time,Basic,No,1,54,7132,Yes,4
997,24,8,4.36,9,Laptop,Action,Asia,Delayed,Basic,Yes,9,26,3141,Yes,1
998,23,10,1.7,8,Laptop,Action,South America,Delayed,Basic,Yes,10,40,3862,No,4
999,48,9,2.34,10,Smart TV,Action,South America,On-Time,Basic,No,3,49,2624,Yes,2
1000,9,8,3.37,9,Smart TV,Comedy,South America,Delayed,Basic,Yes,0,58,7885,No,3
1001,30,7,5.45,9,Tablet,Sci-fi,Oceania,On-Time,Premium,No,6,52,4395,No,5
1002,11,5,2.82,1,Tablet,Sci-fi,Africa,On-Time,Standard,No,1,48,5012,Yes,1
1003,42,3,3.87,2,Tablet,Drama,Oceania,On-Time,Premium,No,7,70,3828,No,5
1004,10,4,3.04,1,Smart TV,Drama,North America,On-Time,Basic,No,9,54,1524,Yes,5
1005,51,4,2.51,6,Tablet,Drama,North America,Delayed,Standard,No,10,47,3054,No,1
1006,6,2,3.29,3,Smart TV,Romance,Asia,On-Time,Basic,No,3,59,2540,Yes,4
1007,49,2,4.39,1,Tablet,Drama,Africa,On-Time,Basic,No,1,66,2409,No,1
1008,10,9,5.72,7,Smart TV,Action,North America,On-Time,Standard,No,10,19,5624,No,1
1009,30,3,5.15,6,Smart TV,Romance,Africa,On-Time,Basic,No,4,26,6097,Yes,4
1010,59,8,4.59,8,Smart TV,Romance,North America,On-Time,Standard,No,9,64,9393,Yes,3
1011,2,10,5.67,8,Smart TV,Sci-fi,Africa,Delayed,Basic,Yes,1,63,4843,No,1
1012,26,9,3.42,7,Mobile,Romance,South America,On-Time,Basic,No,3,32,3698,Yes,3
1013,19,8,5.62,7,Laptop,Comedy,Africa,On-Time,Standard,No,1,18,5631,Yes,3
1014,46,3,3.65,5,Tablet,Romance,Europe,Delayed,Standard,No,9,65,9004,Yes,2
1015,60,6,3.31,6,Mobile,Drama,Asia,On-Time,Premium,No,4,23,9042,Yes,5
1016,19,8,2.65,8,Tablet,Comedy,Oceania,On-Time,Premium,No,5,62,8954,Yes,2
1017,7,1,2.99,1,Laptop,Sci-fi,Europe,On-Time,Basic,No,4,58,5235,Yes,3
1018,48,10,3.2,8,Smart TV,Romance,North America,On-Time,Premium,No,3,31,5944,No,3
1019,57,10,3.08,10,Laptop,Drama,Africa,On-Time,Premium,No,6,49,4154,Yes,5
1020,30,8,2.13,10,Laptop,Romance,Africa,Delayed,Basic,No,7,35,7593,Yes,1
1021,26,8,4.18,10,Tablet,Drama,Oceania,On-Time,Basic,No,9,70,2200,No,3
1022,22,5,5.38,1,Tablet,Action,Africa,On-Time,Standard,No,7,50,6638,Yes,1
1023,19,4,4.32,3,Mobile,Sci-fi,Oceania,On-Time,Standard,Yes,5,68,8936,No,2
1024,34,8,3.45,8,Smart TV,Drama,Asia,Delayed,Standard,No,10,58,6323,No,1
1025,38,8,4.56,7,Smart TV,Sci-fi,Asia,Delayed,Basic,No,1,59,6950,No,2
1026,43,7,1.76,9,Smart TV,Sci-fi,Africa,On-Time,Standard,No,9,45,9861,Yes,3
1027,31,4,3.9,4,Smart TV,Sci-fi,Europe,On-Time,Basic,No,9,41,9027,No,5
1028,42,3,4.38,3,Tablet,Sci-fi,Oceania,On-Time,Basic,No,3,56,2938,No,4
1029,55,5,4.99,3,Tablet,Romance,Asia,On-Time,Premium,No,8,33,3403,No,3
1030,18,5,1.94,4,Tablet,Romance,Europe,On-Time,Basic,Yes,3,29,5479,No,5
1031,32,8,3.92,9,Smart TV,Comedy,Asia,On-Time,Standard,No,0,27,9101,Yes,4
1032,25,10,1.6,10,Smart TV,Comedy,Oceania,On-Time,Basic,No,3,65,1440,Yes,5
1033,45,7,3.12,9,Tablet,Sci-fi,Asia,On-Time,Premium,No,9,63,5137,Yes,2
1034,18,8,5.77,10,Tablet,Drama,Oceania,Delayed,Basic,Yes,7,25,4447,No,1
1035,4,1,1.45,3,Smart TV,Comedy,North America,Delayed,Standard,Yes,9,45,2434,No,4
1036,32,8,2.3,9,Laptop,Comedy,Africa,On-Time,Basic,No,6,27,5592,Yes,5
1037,22,8,1.25,8,Smart TV,Comedy,South America,On-Time,Basic,No,10,69,1146,Yes,4
1038,55,10,1.29,7,Mobile,Action,Africa,On-Time,Standard,No,7,43,8898,Yes,5
1039,12,9,2,8,Mobile,Romance,North America,On-Time,Basic,No,8,20,6979,No,1
1040,55,7,1.06,10,Smart TV,Action,Asia,Delayed,Basic,No,2,40,5572,Yes,3
1041,39,8,1.03,10,Tablet,Romance,North America,On-Time,Basic,No,8,60,1454,Yes,4
1042,15,5,3.07,6,Tablet,Drama,Oceania,On-Time,Standard,No,1,48,1391,Yes,5
1043,31,9,5.74,8,Mobile,Action,Asia,On-Time,Basic,No,6,21,6537,Yes,3
1044,47,9,3.91,7,Smart TV,Comedy,Oceania,On-Time,Standard,No,6,50,5888,No,3
1045,17,10,3.53,9,Tablet,Sci-fi,Oceania,On-Time,Basic,No,10,28,6469,Yes,2
1046,13,8,3.03,7,Smart TV,Romance,Oceania,Delayed,Basic,Yes,4,34,1326,No,3
1047,36,6,4.23,2,Smart TV,Drama,South America,On-Time,Basic,No,8,51,6401,Yes,4
1048,7,9,2.3,9,Mobile,Sci-fi,South America,On-Time,Basic,No,1,60,3540,Yes,2
1049,38,4,1.75,5,Mobile,Drama,Europe,Delayed,Basic,No,7,60,9662,Yes,2
1050,13,2,3.25,5,Mobile,Sci-fi,Asia,Delayed,Standard,Yes,10,52,8885,Yes,4
1051,8,10,3.19,9,Mobile,Drama,Oceania,Delayed,Standard,Yes,2,70,3863,No,3
1052,5,3,3.35,4,Tablet,Action,Asia,On-Time,Basic,Yes,0,27,6982,No,2
1053,35,8,1.96,10,Smart TV,Action,Asia,On-Time,Standard,No,5,60,8902,No,1
1054,32,10,2.94,9,Tablet,Drama,Europe,On-Time,Standard,No,8,31,8658,No,1
1055,8,10,3.69,10,Laptop,Action,Asia,On-Time,Premium,No,6,32,2100,No,1
1056,13,2,1.46,6,Mobile,Sci-fi,Oceania,On-Time,Premium,No,7,31,3598,No,1
1057,7,2,2.3,4,Tablet,Drama,Europe,On-Time,Standard,Yes,8,50,3432,No,5
1058,27,6,3.48,1,Laptop,Drama,Europe,On-Time,Basic,No,10,46,2207,Yes,2
1059,18,9,3.96,10,Laptop,Comedy,Africa,Delayed,Premium,Yes,1,59,9086,No,4
1060,7,7,3.7,10,Laptop,Drama,Oceania,On-Time,Basic,No,9,40,8678,Yes,3
1061,8,8,1.59,9,Tablet,Comedy,Europe,Delayed,Basic,Yes,3,45,4378,No,3
1062,8,8,2.47,10,Smart TV,Comedy,Oceania,On-Time,Basic,No,6,57,4294,Yes,5
1063,39,4,4.32,3,Smart TV,Comedy,South America,On-Time,Standard,No,9,58,8085,Yes,2
1064,59,4,3.08,5,Laptop,Comedy,Asia,On-Time,Standard,No,2,66,8587,No,2
1065,14,7,2.2,8,Tablet,Romance,South America,On-Time,Premium,No,0,50,1560,No,2
1066,30,1,2.73,1,Mobile,Romance,Africa,On-Time,Standard,No,7,46,9862,Yes,4
1067,32,10,3.21,9,Smart TV,Romance,South America,On-Time,Premium,No,5,47,3227,Yes,5
1068,59,5,5.65,6,Tablet,Comedy,Oceania,On-Time,Premium,No,1,60,6835,Yes,2
1069,36,8,3.57,10,Smart TV,Romance,Africa,On-Time,Premium,No,9,43,9966,No,3
1070,35,10,1.85,8,Laptop,Action,South America,On-Time,Premium,No,1,27,3512,Yes,1
1071,41,3,3.29,6,Laptop,Action,South America,Delayed,Basic,No,2,66,3913,Yes,4
1072,50,10,1.47,9,Mobile,Sci-fi,Africa,On-Time,Standard,No,5,31,8253,No,1
1073,39,10,1.29,7,Smart TV,Action,Asia,Delayed,Premium,No,5,68,8934,Yes,2
1074,55,8,4.57,7,Smart TV,Comedy,North America,On-Time,Premium,No,3,36,9875,No,2
1075,57,7,3.87,7,Tablet,Comedy,Africa,On-Time,Basic,No,2,37,5460,No,3
1076,44,10,3.9,8,Tablet,Romance,Africa,Delayed,Standard,No,4,60,6721,Yes,2
1077,39,5,3.91,3,Tablet,Comedy,Africa,On-Time,Premium,No,3,19,5859,No,4
1078,27,9,2.2,7,Laptop,Sci-fi,Oceania,On-Time,Basic,No,1,33,3636,No,4
1079,23,8,2.69,7,Mobile,Sci-fi,South America,On-Time,Premium,No,8,39,4789,Yes,2
1080,60,10,5.1,10,Laptop,Action,Asia,On-Time,Basic,No,10,24,1451,Yes,3
1081,8,10,1.04,8,Tablet,Romance,Europe,On-Time,Basic,No,10,54,4916,Yes,2
1082,43,10,2.38,9,Mobile,Sci-fi,Europe,On-Time,Standard,No,8,31,6715,No,5
1083,22,7,5.26,8,Laptop,Romance,Asia,On-Time,Premium,No,5,23,3444,No,4
1084,17,6,5.59,6,Mobile,Action,Asia,On-Time,Basic,No,4,49,7850,Yes,4
1085,59,9,3.32,9,Laptop,Drama,Africa,On-Time,Premium,No,10,23,6080,Yes,4
1086,7,7,3.49,7,Tablet,Action,North America,On-Time,Standard,No,6,36,8381,Yes,2
1087,11,7,2.29,8,Tablet,Comedy,South America,On-Time,Standard,No,9,21,8717,Yes,3
1088,42,9,4.45,8,Smart TV,Romance,Oceania,Delayed,Standard,No,2,48,6366,No,1
1089,19,8,4.91,10,Mobile,Romance,Oceania,On-Time,Premium,No,2,30,3004,No,1
1090,31,4,1.77,3,Mobile,Sci-fi,Africa,Delayed,Basic,No,0,37,6606,Yes,2
1091,22,10,4.56,8,Smart TV,Romance,South America,On-Time,Premium,No,6,39,6348,No,2
1092,50,6,3.64,3,Mobile,Romance,Europe,Delayed,Premium,No,9,21,6341,No,5
1093,47,7,5.24,7,Mobile,Romance,South America,On-Time,Standard,No,3,22,5113,Yes,1
1094,60,4,1.66,6,Laptop,Action,Oceania,On-Time,Premium,No,9,18,8636,Yes,2
1095,6,10,4.75,7,Smart TV,Comedy,Africa,On-Time,Standard,No,4,46,1778,Yes,3
1096,11,7,3.76,7,Laptop,Action,Oceania,Delayed,Basic,Yes,8,45,6673,No,3
1097,45,1,2.91,1,Tablet,Comedy,Africa,On-Time,Basic,No,2,47,4300,Yes,2
1098,18,6,4.71,5,Smart TV,Action,Oceania,On-Time,Premium,No,4,47,3010,No,2
1099,40,6,5.5,4,Laptop,Action,Africa,Delayed,Basic,No,10,23,6437,No,5
1100,2,9,2.21,9,Mobile,Comedy,South America,On-Time,Basic,No,0,69,6613,No,5
1101,44,7,5.25,10,Tablet,Comedy,Asia,On-Time,Standard,No,7,69,5519,No,5
1102,24,7,4.77,9,Tablet,Action,Africa,On-Time,Basic,No,1,55,4776,Yes,1
1103,57,8,2.24,7,Mobile,Comedy,Oceania,On-Time,Standard,No,3,24,3868,Yes,5
1104,31,9,5.38,7,Smart TV,Sci-fi,North America,On-Time,Standard,No,8,61,6088,Yes,5
1105,7,3,4.23,5,Smart TV,Drama,North America,On-Time,Basic,No,7,62,9320,Yes,5
1106,15,7,4.99,8,Tablet,Romance,South America,On-Time,Basic,No,9,25,7958,No,1
1107,7,5,3.06,1,Smart TV,Romance,North America,On-Time,Premium,No,0,47,7553,Yes,5
1108,48,9,2.3,8,Tablet,Romance,North America,On-Time,Premium,No,7,65,7110,Yes,5
1109,12,10,4.98,7,Mobile,Romance,North America,On-Time,Basic,No,0,41,7430,Yes,2
1110,5,10,2.92,7,Mobile,Drama,North America,On-Time,Premium,No,7,58,3253,Yes,3
1111,19,7,4.16,10,Mobile,Romance,Oceania,Delayed,Premium,Yes,8,70,1814,Yes,5
1112,38,9,5.13,7,Tablet,Action,Asia,On-Time,Basic,No,5,44,6599,No,1
1113,17,8,3.79,8,Smart TV,Sci-fi,South America,On-Time,Basic,No,9,27,9846,Yes,3
1114,17,6,2.49,2,Smart TV,Drama,North America,Delayed,Basic,Yes,10,54,4581,Yes,4
1115,42,10,4.65,7,Tablet,Drama,Europe,On-Time,Premium,No,10,28,5294,Yes,4
1116,53,8,5.52,8,Mobile,Action,Oceania,On-Time,Basic,No,1,19,3917,No,2
1117,2,10,3.96,10,Tablet,Sci-fi,Africa,On-Time,Basic,No,10,52,1479,No,3
1118,42,9,1.89,10,Tablet,Action,Africa,On-Time,Standard,No,0,66,4288,No,3
1119,59,6,4.58,3,Laptop,Sci-fi,Asia,On-Time,Basic,No,8,39,5019,Yes,3
1120,24,9,2.21,10,Laptop,Comedy,Africa,On-Time,Basic,No,9,61,7331,Yes,5
1121,9,3,4.94,5,Smart TV,Sci-fi,North America,On-Time,Standard,No,5,22,5074,Yes,4
1122,9,6,1.56,4,Smart TV,Action,North America,On-Time,Basic,Yes,0,24,1166,No,2
1123,9,10,3.58,9,Mobile,Romance,South America,On-Time,Basic,No,8,23,9123,No,2
1124,60,8,3.35,8,Laptop,Comedy,North America,On-Time,Standard,No,8,46,3665,Yes,1
1125,44,9,4.03,8,Laptop,Sci-fi,North America,On-Time,Standard,No,9,30,2612,Yes,4
1126,17,3,4.27,1,Tablet,Sci-fi,Asia,On-Time,Standard,No,6,60,1919,Yes,5
1127,42,10,2.94,9,Smart TV,Romance,North America,On-Time,Basic,No,1,46,1941,No,1
1128,6,7,4.6,9,Tablet,Sci-fi,South America,On-Time,Standard,No,8,28,7895,Yes,5
1129,23,8,5.41,10,Smart TV,Drama,Asia,On-Time,Premium,No,6,22,6942,No,4
1130,36,7,5.49,9,Smart TV,Action,Europe,On-Time,Standard,No,1,61,7252,Yes,2
1131,16,9,1.91,8,Tablet,Action,North America,On-Time,Basic,No,1,19,2171,Yes,3
1132,30,8,1.6,7,Laptop,Sci-fi,North America,On-Time,Basic,No,7,66,5021,No,2
1133,43,9,2.68,10,Mobile,Romance,North America,On-Time,Premium,No,1,21,3647,Yes,5
1134,43,5,4.85,4,Tablet,Action,Oceania,On-Time,Premium,No,3,62,3749,Yes,4
1135,50,8,3.97,7,Tablet,Drama,South America,On-Time,Basic,No,6,66,5435,Yes,1
1136,22,9,2.54,7,Tablet,Drama,Africa,On-Time,Standard,No,7,48,2494,Yes,2
1137,7,10,5.97,10,Smart TV,Sci-fi,North America,On-Time,Standard,No,2,19,4393,Yes,1
1138,8,10,4.09,8,Laptop,Sci-fi,South America,On-Time,Basic,No,7,68,1648,No,2
1139,52,9,3.31,7,Smart TV,Action,Oceania,On-Time,Premium,No,7,40,5106,Yes,4
1140,29,8,3.82,8,Laptop,Romance,Asia,On-Time,Standard,No,10,21,6411,Yes,5
1141,46,8,3.74,10,Mobile,Drama,North America,Delayed,Standard,No,6,54,3260,No,4
1142,55,8,3.7,8,Smart TV,Drama,Africa,On-Time,Basic,No,6,36,9786,Yes,5
1143,22,3,1.8,2,Smart TV,Drama,South America,On-Time,Premium,No,1,65,8550,Yes,5
1144,6,9,5.49,9,Laptop,Sci-fi,Oceania,On-Time,Standard,No,4,28,1318,No,4
1145,27,9,5.7,8,Tablet,Drama,South America,Delayed,Basic,No,2,69,4023,No,5
1146,26,10,5.9,8,Smart TV,Drama,South America,On-Time,Standard,No,6,64,4745,No,5
1147,55,1,1.61,2,Mobile,Sci-fi,South America,On-Time,Basic,No,5,62,1148,No,5
1148,23,3,3.02,5,Tablet,Comedy,South America,Delayed,Standard,Yes,7,54,3939,No,1
1149,59,7,3.78,10,Tablet,Action,Europe,On-Time,Basic,No,2,67,5246,Yes,3
1150,50,8,2.52,8,Smart TV,Romance,North America,On-Time,Standard,No,2,47,2882,No,2
1151,57,2,5.97,3,Mobile,Drama,Europe,Delayed,Basic,No,2,37,3965,Yes,2
1152,7,1,2.57,6,Laptop,Drama,Oceania,Delayed,Basic,Yes,4,69,9609,Yes,2
1153,51,8,2.64,8,Laptop,Romance,Oceania,On-Time,Standard,No,0,47,6594,No,5
1154,39,2,5.26,6,Laptop,Comedy,Europe,On-Time,Premium,No,10,42,6477,Yes,3
1155,50,9,3.41,8,Laptop,Action,North America,On-Time,Basic,No,10,64,6046,Yes,4
1156,45,8,3.8,10,Tablet,Comedy,Oceania,On-Time,Basic,No,0,21,8295,No,3
1157,2,8,4.51,7,Smart TV,Action,Oceania,On-Time,Basic,No,8,37,5788,Yes,5
1158,8,4,3.17,4,Smart TV,Sci-fi,North America,On-Time,Basic,No,9,27,1989,Yes,4
1159,9,8,3.31,7,Mobile,Action,Asia,On-Time,Standard,No,3,49,5314,No,5
1160,44,9,1.09,9,Tablet,Romance,Asia,On-Time,Standard,No,4,67,5070,Yes,4
1161,35,8,2.52,9,Mobile,Comedy,Europe,Delayed,Standard,No,9,55,9273,Yes,1
1162,43,10,3.29,8,Mobile,Romance,Africa,On-Time,Basic,No,4,29,6735,No,4
1163,23,9,2.78,10,Tablet,Drama,North America,On-Time,Premium,No,5,67,5656,Yes,4
1164,7,1,4.45,3,Laptop,Drama,North America,On-Time,Basic,Yes,5,21,3692,No,4
1165,53,9,1.58,7,Laptop,Romance,Asia,Delayed,Standard,No,2,46,8722,Yes,2
1166,57,9,5.72,10,Laptop,Action,Asia,On-Time,Basic,No,5,54,1456,No,4
1167,35,2,4.29,3,Tablet,Romance,Asia,Delayed,Premium,No,1,64,5486,Yes,3
1168,37,9,3.31,9,Mobile,Action,Asia,Delayed,Basic,No,4,25,8930,No,2
1169,50,5,2.21,6,Mobile,Romance,Oceania,On-Time,Standard,No,10,34,3071,No,4
1170,58,9,3.27,10,Laptop,Action,Europe,On-Time,Premium,No,6,45,3026,Yes,5
1171,5,9,1.39,8,Laptop,Comedy,North America,On-Time,Premium,No,1,54,2189,Yes,5
1172,46,10,3.25,9,Laptop,Comedy,North America,On-Time,Standard,No,4,32,1015,No,2
1173,17,8,1.98,7,Laptop,Comedy,North America,On-Time,Standard,No,9,18,9508,No,1
1174,38,7,5.07,8,Mobile,Sci-fi,South America,On-Time,Basic,No,5,43,4145,Yes,5
1175,39,8,2.11,7,Mobile,Action,Europe,On-Time,Standard,No,2,22,7501,Yes,1
1176,24,9,1.13,8,Mobile,Drama,Asia,On-Time,Basic,No,0,27,8459,Yes,2
1177,18,8,3.63,9,Smart TV,Drama,Europe,On-Time,Basic,No,4,61,3153,Yes,1
1178,40,10,2.67,8,Mobile,Drama,North America,On-Time,Standard,No,6,54,2977,No,5
1179,55,8,2.09,7,Laptop,Romance,North America,On-Time,Basic,No,5,54,8114,No,2
1180,19,6,4.04,2,Tablet,Action,South America,Delayed,Premium,Yes,0,45,9595,Yes,3
1181,46,2,4.34,4,Tablet,Drama,South America,On-Time,Basic,No,5,68,5127,Yes,3
1182,48,1,2.2,3,Tablet,Comedy,Oceania,On-Time,Basic,No,2,38,5070,No,1
1183,20,6,2.31,4,Smart TV,Comedy,Asia,On-Time,Basic,No,5,31,6372,Yes,5
1184,57,5,1.27,6,Laptop,Drama,South America,On-Time,Premium,No,8,43,9334,Yes,1
1185,14,7,5.66,9,Smart TV,Action,Africa,Delayed,Standard,Yes,2,30,7297,No,5
1186,41,7,3.7,7,Tablet,Drama,North America,On-Time,Basic,No,10,30,6142,Yes,1
1187,49,2,5.26,3,Tablet,Action,Europe,On-Time,Basic,No,5,34,1404,Yes,5
1188,43,9,5.7,8,Tablet,Romance,North America,On-Time,Basic,No,8,32,5069,No,4
1189,33,7,3.24,10,Tablet,Drama,Europe,On-Time,Standard,No,6,23,3718,Yes,1
1190,54,7,2.75,7,Smart TV,Drama,Africa,On-Time,Standard,No,4,31,7611,No,4
1191,52,9,1.26,10,Tablet,Comedy,Africa,On-Time,Standard,No,7,40,4337,No,4
1192,47,7,3.63,7,Tablet,Sci-fi,Africa,On-Time,Standard,No,3,51,4030,Yes,3
1193,43,8,3.63,9,Laptop,Romance,Asia,Delayed,Basic,No,10,70,1312,No,3
1194,28,7,1.07,10,Smart TV,Romance,Asia,On-Time,Basic,No,4,49,3365,Yes,1
1195,42,4,4.59,1,Smart TV,Sci-fi,Oceania,Delayed,Basic,No,7,37,1479,No,1
1196,24,9,2.23,10,Mobile,Action,Oceania,On-Time,Premium,No,8,54,4291,Yes,2
1197,14,9,5.49,10,Smart TV,Drama,Europe,On-Time,Standard,No,5,28,8893,Yes,4
1198,28,2,2.79,4,Laptop,Sci-fi,Africa,On-Time,Basic,No,1,50,8044,Yes,5
1199,1,3,5.93,6,Laptop,Romance,Africa,On-Time,Basic,No,8,23,6203,Yes,4
1200,21,3,3.24,1,Laptop,Sci-fi,Oceania,On-Time,Basic,Yes,6,30,4642,No,4
1201,25,8,4.16,10,Smart TV,Action,Asia,On-Time,Basic,No,6,34,2935,Yes,4
1202,45,9,5.2,7,Smart TV,Action,Oceania,On-Time,Premium,No,5,29,6140,Yes,2
1203,45,5,1.46,5,Smart TV,Comedy,South America,On-Time,Premium,No,4,42,5395,No,1
1204,59,7,5.91,8,Smart TV,Sci-fi,Europe,On-Time,Standard,No,4,57,9908,No,5
1205,10,7,5.15,9,Mobile,Comedy,North America,On-Time,Premium,No,1,64,5323,Yes,1
1206,48,9,3.6,8,Mobile,Sci-fi,Oceania,On-Time,Basic,No,5,65,1218,No,1
